,FOM1,OFFSCORE,DEFSCORE,PFOM,SeedDiff,FTScore,ClassDiff,OPFOMDIF
612,0.76862745098,0.496183206107,0.582292993631,0.260366972477,7.0,-1.87760455066,0.0,-0.0208994393228
613,0.409565217391,0.589914529915,0.95,0.95,-1.0,0.910426323693,-2.0,0.0433748451831
614,0.484615384615,0.95,0.95,0.95,-3.0,3.16538781434,-1.0,0.0163538418621
615,0.819440559441,0.705454545455,0.491525423729,0.705454545455,-8.0,0.545961002786,-1.0,0.122432090517
616,0.508064516129,0.95,0.05,0.906878980892,-8.0,2.43607282683,-2.0,0.0621496692163
617,0.209367088608,0.95,0.584475524476,0.397639751265,7.0,0.99696969697,0.0,-0.02506069269
618,0.513043478261,0.95,0.684,0.95,-1.0,0.0276783832545,-1.0,0.0404092603125
619,0.639130434783,0.05,0.587131782946,0.376738292831,-3.0,1.17710640898,0.0,-0.0307137967494
620,0.414820143885,0.05,0.940882352941,0.05,5.0,-0.500673163783,2.0,0.16672067949
621,0.200298507463,0.05,0.05,0.268416841782,7.0,-2.39232844223,1.0,0.00598076601126
622,0.487179487179,0.05,0.05,0.228214686194,1.0,-4.42603031262,1.0,0.00687532740937
623,0.565423728814,0.95,0.766037735849,0.599596932657,3.0,2.76134155145,0.0,0.141038161834
624,0.95,0.05,0.419532163743,0.95,-8.0,2.15615058732,-2.0,0.0199354448819
625,0.512195121951,0.0618691588785,0.95,0.8025,-8.0,1.32039933312,-1.0,0.07235780285
626,0.515873015873,0.95,0.95,0.95,-8.0,0.277667800804,-2.0,0.0632137827065
627,0.488372093023,0.657313432836,0.461481481481,0.164144209194,-8.0,-1.73446527699,2.0,0.0250339977405
628,0.25625,0.05,0.05,0.05,7.0,1.88250795131,2.0,-0.0524835067349
629,0.565423728814,0.95,0.95,0.533875401549,1.0,2.74321458863,0.0,0.0140001242273
630,0.293125,0.05,0.341538461538,0.412993894958,5.0,0.680278919015,0.0,-0.00155390805968
631,0.659682539683,0.95,0.95,0.0885714285714,4.0,-0.794993813648,-0.0,0.0538876633022
